ONS Code,Local Authority,Owner occupied,Private rented,Social,All Rented,Owner occupied,Private rented,Social,All Rented
E07000244,East Suffolk,12910,5641,809,6450,16.21,31.5,5.95,20.47
E07000061,Eastbourne,2947,1678,586,2264,10.13,14.67,10.18,13.16
E07000086,Eastleigh,2292,649,374,1023,5.44,7.78,5.16,6.56
E07000207,Elmbridge,2773,963,364,1327,6.77,9.71,6.66,8.63
E09000010,Enfield,6404,6597,2411,9008,8.58,21.53,12.7,18.15
E07000072,Epping Forest,4844,1769,355,2124,12.3,24.19,4.41,13.82
E07000208,Epsom and Ewell,1670,465,189,654,6.92,9.54,6.89,8.59
E07000036,Erewash,6251,1859,734,2593,17.27,23.77,11.61,18.34
E07000041,Exeter,4972,3017,1415,4432,15.49,23.49,15.55,20.2
E07000087,Fareham,2144,452,248,700,5.53,7.59,5.45,6.66
E07000010,Fenland,3830,1732,251,1983,12.43,22.28,4.45,14.79
E07000112,Folkestone and Hythe,3977,1897,572,2469,12.42,16.23,10.88,14.57
E07000080,Forest of Dean,7102,1939,1104,3043,25.65,35.04,22.16,28.94
E07000119,Fylde,4339,1801,324,2125,15.7,23.52,10.32,19.68
E08000037,Gateshead,5837,3826,2159,5985,11.01,26.69,9.25,15.89
E07000173,Gedling,5527,1659,554,2213,14.41,20.68,10.75,16.8
E07000081,Gloucester,4428,2130,1152,3282,11.91,18.5,13.94,16.59
E07000088,Gosport,2025,776,461,1237,8.5,11.56,7.84,9.82
E07000109,Gravesham,2415,939,600,1539,8.85,12.1,8.25,10.24
E07000145,Great Yarmouth,4661,2519,434,2953,15.99,30.51,5.94,18.97
E09000011,Greenwich,3707,4446,3633,8079,6.75,16.78,10.13,12.96
E07000209,Guildford,3221,1165,531,1696,8.24,11.38,7.33,9.7
E09000012,Hackney,2339,6252,4857,11109,7.62,18.45,10.93,14.18
E06000006,Halton,4492,1277,1330,2607,12.43,17.64,9.63,12.38
E09000013,Hammersmith and Fulham,2824,6047,3102,9149,8.8,21.56,13.22,17.76
E07000131,Harborough,5562,1507,377,1884,17.72,26.84,11.08,20.9
E09000014,Haringey,4212,8120,3614,11734,9.27,22.71,13.5,18.77
E07000073,Harlow,2046,887,438,1325,9.35,17.79,3.93,8.21
E09000015,Harrow,4504,4114,1063,5177,7.4,18.74,11.41,16.55
E07000089,Hart,1740,443,223,666,5.67,7.73,5.4,6.76
E06000001,Hartlepool,2294,1729,674,2403,9.31,22.64,7.14,14.07
E07000062,Hastings,3022,2061,667,2728,13.08,16.84,11.73,15.22
E07000090,Havant,2601,646,702,1348,6.93,9.8,6.88,8.02
E09000016,Havering,4917,2186,1294,3480,6.41,16.5,9.16,12.71
E06000019,"Herefordshire, County of",14646,4081,2251,6332,25.07,27.49,19.97,24.25
E07000098,Hertsmere,2853,1179,262,1441,9.75,18.62,3.62,10.62
E07000037,High Peak,6500,2092,640,2732,22.28,31.93,12.72,23.59
E09000017,Hillingdon,4844,3985,1851,5836,6.81,17.7,9.96,14.2
E07000132,Hinckley and Bosworth,5777,1524,522,2046,15.45,22.38,10.01,17.01
E07000227,Horsham,4263,1197,619,1816,9.1,13.06,8.56,11.07
E09000018,Hounslow,4279,5055,2380,7435,7.62,18.74,10.52,14.99
E07000011,Huntingdonshire,6084,2820,467,3287,11.23,22.94,4.37,14.3
E07000120,Hyndburn,4820,2095,677,2772,20.49,28.51,14.31,22.95
E07000202,Ipswich,4423,3067,591,3658,12.88,23.89,4.7,14.4
E06000046,Isle of Wight,6339,2328,729,3057,13.69,18.4,10.86,15.79
E06000053,Isles of Scilly,426,140,98,238,64.77,72.55,80.81,75.73
E09000019,Islington,2467,5315,4449,9764,7.84,18.59,11.39,14.43
E09000020,Kensington and Chelsea,3288,7152,2587,9739,11.86,27.67,16.61,23.51
E07000146,King's Lynn and West Norfolk,8302,3811,617,4428,17.67,32.82,6.75,21.33
E06000010,"Kingston upon Hull, City of",9848,9588,4099,13687,16.81,34.45,12.72,22.79
E09000021,Kingston upon Thames,3280,3317,798,4115,7.5,20.11,11,17.33
E08000034,Kirklees,23278,14848,3868,18716,19.24,42.75,14.26,30.26
E08000011,Knowsley,4987,1436,1637,3073,12.24,16.79,8.95,11.45
